Departamento,Provincia,Municipio,Año,Num_Alumnos_Matriculados,Tasa_Abandono,Tasa_Promoción,Tasa_Reprobación,Num_Unidades_Educativas
Beni,Cercado,Trin.d.dad                      ,2006,31648,5.9,88.86,5.25,83
Beni,Cercado,San Javier              ,2006,1127,5.9,92.19,1.95,18
Beni,V. Diez,Riberalta                     ,2006,30099,6.5,87.19,6.29,130
Beni,V. Diez,Guayaramerin                  ,2006,14162,8,88.98,3.06,65
Beni,J. Ballivián,Reyes                         ,2006,3354,4.1,89.3,6.59,43
Beni,J. Ballivián,San Borja                     ,2006,11925,7.2,86.96,5.86,97
Beni,J. Ballivián,Santa Rosa                    ,2006,2458,6.3,88.04,5.66,24
Beni,J. Ballivián,Rurrenabaque                  ,2006,5203,7.8,86.14,6.07,35
Beni,Yacuma,Santa Ana                     ,2006,6769,5.7,90.25,4.08,48
Beni,Yacuma,Exaltación                    ,2006,1156,7.5,89.88,2.6,22
Beni,Moxos,San Ignacio                   ,2006,8247,9.2,86.38,4.44,97
Beni,Marbán,Loreto                        ,2006,1412,9.6,86.54,3.9,27
Beni,Marbán,San Andrés                    ,2006,3825,9.3,88.42,2.3,43
Beni,Mamoré,San Joaquín                   ,2006,1989,8.2,83.86,7.89,19
Beni,Mamoré,San Ramón               ,2006,1637,2,91.2,6.84,14
Beni,Mamoré,Puerto Siles                  ,2006,237,0,93.67,6.33,4
Beni,Itenez,Magdalena                     ,2006,4492,1.1,95.61,3.32,38
Beni,Itenez,Baures                        ,2006,1660,3.4,88.43,8.19,12
Beni,Itenez,Huaracaje                     ,2006,1475,2,90.17,7.8,12
Chuquisaca,Oropeza,Sucre                         ,2006,76613,5.1,87.72,7.22,207
Chuquisaca,Oropeza,Yotala                        ,2006,3207,5,85.84,9.17,32
Chuquisaca,Oropeza,Poroma                        ,2006,4240,4.1,89.39,6.51,56
Chuquisaca,J.A. De Padilla,Azurduy                       ,2006,3146,5.3,83.09,11.57,37
Chuquisaca,J.A. De Padilla,Tarvita                       ,2006,4921,4.3,83.42,12.27,44
Chuquisaca,J. Zudañez,Zudáñez                       ,2006,1928,2.1,88.8,9.08,23
Chuquisaca,J. Zudañez,Presto                        ,2006,2078,2,89.99,7.99,24
Chuquisaca,J. Zudañez,Mojocoya                      ,2006,2383,4.1,87.24,8.64,25
Chuquisaca,J. Zudañez,Icla                          ,2006,2765,4.8,85.97,9.26,24
Chuquisaca,Tomina,Padilla                       ,2006,3206,3.5,89.27,7.27,50
Chuquisaca,Tomina,Tomina                        ,2006,2443,5.6,92.06,2.29,22
Chuquisaca,Tomina,Sopachuy                      ,2006,2080,4.3,86.49,9.23,20
Chuquisaca,Tomina,Alcala                        ,2006,1187,3.5,89.81,6.74,10
Chuquisaca,Tomina,El Villar                     ,2006,1321,3,87.06,9.99,16
Chuquisaca,H. Siles,Monteagudo                    ,2006,8814,3.1,87.54,9.36,75
Chuquisaca,H. Siles,Huacareta                     ,2006,2716,8.3,81.26,10.46,37
Chuquisaca,Yamparáez,Tarabuco                      ,2006,5748,4.2,87.13,8.66,64
Chuquisaca,Yamparáez,Yamparaez                     ,2006,2642,4.6,86.9,8.52,29
Chuquisaca,Nor Cinti,Camargo                       ,2006,4395,4.5,84.91,10.63,55
Chuquisaca,Nor Cinti,San Lucas                     ,2006,9144,4.1,85.84,10.02,108
Chuquisaca,Nor Cinti,Incahuasi                     ,2006,6811,3.2,87.67,9.18,61
Chuquisaca,Nor Cinti,Villa Charcas                 ,2006,0, -   ,0,0,0
